method1,method2,sample,unifrac
de_novo,closed_reference,sample103,0.26766166760986704
closed_reference,de_novo,sample103,0.26766166760986704
de_novo,de_novo,sample103,
closed_reference,closed_reference,sample103,
de_novo,closed_reference,sample078,0.25761799120193435
closed_reference,de_novo,sample078,0.25761799120193435
de_novo,de_novo,sample078,
closed_reference,closed_reference,sample078,
de_novo,closed_reference,sample072,0.3466388522078824
closed_reference,de_novo,sample072,0.3466388522078824
de_novo,de_novo,sample072,
closed_reference,closed_reference,sample072,
de_novo,closed_reference,sample086,0.4033790688032633
closed_reference,de_novo,sample086,0.4033790688032633
de_novo,de_novo,sample086,
closed_reference,closed_reference,sample086,
de_novo,closed_reference,sample114,0.1588810747540119
closed_reference,de_novo,sample114,0.1588810747540119
de_novo,de_novo,sample114,
closed_reference,closed_reference,sample114,
de_novo,closed_reference,sample091,0.3375986491537133
closed_reference,de_novo,sample091,0.3375986491537133
de_novo,de_novo,sample091,
closed_reference,closed_reference,sample091,
de_novo,closed_reference,sample097,0.2915324092808936
closed_reference,de_novo,sample097,0.2915324092808936
de_novo,de_novo,sample097,
closed_reference,closed_reference,sample097,
de_novo,closed_reference,sample087,0.24615440475342434
closed_reference,de_novo,sample087,0.24615440475342434
de_novo,de_novo,sample087,
closed_reference,closed_reference,sample087,
de_novo,closed_reference,sample075,0.2877609705355885
closed_reference,de_novo,sample075,0.2877609705355885
de_novo,de_novo,sample075,
closed_reference,closed_reference,sample075,
de_novo,closed_reference,sample088,0.17513367664638593
closed_reference,de_novo,sample088,0.17513367664638593
de_novo,de_novo,sample088,
closed_reference,closed_reference,sample088,
open_reference,deblur,sample105,0.05208948153987709
deblur,open_reference,sample105,0.05208948153987709
open_reference,open_reference,sample105,
deblur,deblur,sample105,
open_reference,deblur,sample103,0.16779222998113646
deblur,open_reference,sample103,0.16779222998113646
open_reference,open_reference,sample103,
deblur,deblur,sample103,
open_reference,deblur,sample074,0.14494342553107803
deblur,open_reference,sample074,0.14494342553107803
open_reference,open_reference,sample074,
deblur,deblur,sample074,
open_reference,deblur,sample075,0.17567340364145737
deblur,open_reference,sample075,0.17567340364145737
open_reference,open_reference,sample075,
deblur,deblur,sample075,
open_reference,deblur,sample076,0.16939532160437065
deblur,open_reference,sample076,0.16939532160437065
open_reference,open_reference,sample076,
deblur,deblur,sample076,
open_reference,deblur,sample077,0.12508027315879244
