OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
37,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,759.0,
38,Mollicutes,Spiroplasmataceae,Spiroplasma,Bacteria,Entomoplasmatales,Tenericutes,unknown,757.0,
39,Bacteroidia,unknown,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,751.0,
40,Bacilli,unknown,unknown,Bacteria,Bacillales,Firmicutes,unknown,712.0,
41,Negativicutes,Acidaminococcaceae,unknown,Bacteria,Acidaminococcales,Firmicutes,unknown,706.0,
42,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,694.0,
43,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,unknown,685.0,
44,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,653.0,
45,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,646.0,
46,Bacilli,Bacillaceae,Lysinibacillus,Bacteria,Bacillales,Firmicutes,unknown,629.0,
47,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,621.0,
48,Clostridia,Peptostreptococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,614.0,
49,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,582.0,
50,Verrucomicrobiae,Verrucomicrobiaceae,unknown,Bacteria,Verrucomicrobiales,Verrucomicrobia,unknown,575.0,
51,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Clostridiales,Firmicutes,unknown,569.0,
52,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,unknown,564.0,
53,Alphaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,563.0,
54,Clostridia,Hungateiclostridiaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,559.0,
55,Bacteroidia,unknown,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,536.0,
56,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,526.0,
57,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,505.0,
58,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,485.0,
59,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,475.0,
60,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,474.0,
61,Verrucomicrobiae,Verrucomicrobiaceae,unknown,Bacteria,Verrucomicrobiales,Verrucomicrobia,unknown,454.0,
62,Gammaproteobacteria,Morganellaceae,Providencia,Bacteria,Enterobacterales,Proteobacteria,unknown,449.0,
63,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacterales,Proteobacteria,unknown,448.0,
64,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,445.0,
65,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,424.0,
66,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,405.0,
67,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,382.0,
68,Clostridia,Lachnospiraceae,Blautia,Bacteria,Clostridiales,Firmicutes,unknown,371.0,
69,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,unknown,362.0,
70,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,357.0,
71,Clostridia,Clostridiaceae,Clostridium,Bacteria,Clostridiales,Firmicutes,unknown,356.0,
72,Bacilli,Staphylococcaceae,Staphylococcus,Bacteria,Bacillales,Firmicutes,unknown,332.0,
73,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacterales,Proteobacteria,unknown,321.0,
74,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,unknown,316.0,
75,Clostridia,Lachnospiraceae,Blautia,Bacteria,Clostridiales,Firmicutes,unknown,315.0,
76,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,304.0,
77,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,292.0,
78,Gammaproteobacteria,Pasteurellaceae,Haemophilus,Bacteria,Pasteurellales,Proteobacteria,unknown,288.0,
79,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,281.0,
80,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,273.0,
81,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacterales,Proteobacteria,unknown,259.0,
82,Clostridia,Lachnospiraceae,Blautia,Bacteria,Clostridiales,Firmicutes,unknown,257.0,
83,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,unknown,252.0,
84,Clostridia,Lachnospiraceae,Roseburia,Bacteria,Clostridiales,Firmicutes,unknown,250.0,
85,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,242.0,
86,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Lactobacillales,Firmicutes,unknown,240.0,
87,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,236.0,
88,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,unknown,232.0,
